geography	time	measure	value
37027	2013-12-31	chr_access_to_recreational_facilities	6.02322555775069
37027	2013-12-31	chr_adult_obesity	0.303
37027	2013-12-31	chr_adult_smoking	0.244
37027	2013-12-31	chr_air_pollution_particulate_matter	13.25
37027	2013-12-31	chr_american_indian_or_alaska_native	0.00601978275380788
37027	2013-12-31	chr_asian	0.00575277626069543
37027	2013-12-31	chr_below_18_years_of_age	0.221688209235997
37027	2013-12-31	chr_child_mortality	56.7619299056168
37027	2013-12-31	chr_children_eligible_for_free_or_reduced_price_lunch	0.486554292434339
37027	2013-12-31	chr_children_in_poverty	0.288
37027	2013-12-31	chr_children_in_single_parent_households	0.303454614261772
37027	2013-12-31	chr_could_not_see_doctor_due_to_cost	0.187
37027	2013-12-31	chr_dentists	2.650219e-4
37027	2013-12-31	chr_diabetes_monitoring	0.86535552193646
37027	2013-12-31	chr_diabetes_prevalence	0.105
37027	2013-12-31	chr_drinking_water_violations	0
37027	2013-12-31	chr_driving_alone_to_work	0.84685773480663
37027	2013-12-31	chr_excessive_drinking	0.092
37027	2013-12-31	chr_fast_food_restaurants	0.642857142857143
37027	2013-12-31	chr_female	0.507203106984647
37027	2013-12-31	chr_health_care_costs	9598.6
37027	2013-12-31	chr_high_housing_costs	0.270692446899705
37027	2013-12-31	chr_high_school_graduation	0.84645286686103
37027	2013-12-31	chr_hispanic	0.0467382729534559
37027	2013-12-31	chr_hiv_prevalence	71
37027	2013-12-31	chr_homicides	4.90773458971339
37027	2013-12-31	chr_inadequate_social_support	0.224
37027	2013-12-31	chr_infant_mortality	840.894003098031
37027	2013-12-31	chr_limited_access_to_healthy_foods	0.157153065440389
37027	2013-12-31	chr_low_birth_weight	0.091
37027	2013-12-31	chr_mammography_screening	0.709183673469388
37027	2013-12-31	chr_median_household_income	34876
37027	2013-12-31	chr_mental_health_providers	6.02322555775069e-5
37027	2013-12-31	chr_motor_vehicle_crash_deaths	17.5276235346907
37027	2013-12-31	chr_native_hawaiian_or_other_pacific_islander	8.0101947933733e-4
37027	2013-12-31	chr_non_hispanic_black	0.0506098671035864
37027	2013-12-31	chr_non_hispanic_white	0.883051156016749
37027	2013-12-31	chr_not_proficient_in_english	0.0101180221645111
37027	2013-12-31	chr_physical_inactivity	0.275
37027	2013-12-31	chr_poor_mental_health_days	4.2
37027	2013-12-31	chr_poor_or_fair_health	0.203
37027	2013-12-31	chr_poor_physical_health_days	4.3
37027	2013-12-31	chr_population	82395
37027	2013-12-31	chr_premature_age_adjusted_mortality	434.6
37027	2013-12-31	chr_premature_death	8965.99
37027	2013-12-31	chr_preventable_hospital_stays	65.0599999427795
37027	2013-12-31	chr_primary_care_physicians	4.0957933792704e-4
37027	2013-12-31	chr_rural	0.344277300702164
37027	2013-12-31	chr_sexually_transmitted_infections	203.5
37027	2013-12-31	chr_some_college	0.500360144057623
37027	2013-12-31	chr_teen_births	53.7634408602151
37027	2013-12-31	chr_unemployment	0.132
37027	2013-12-31	chr_uninsured	0.193
37027	2013-12-31	chr_uninsured_adults	0.239
37027	2013-12-31	chr_uninsured_children	0.071
37027	2013-12-31	chr_violent_crime	176.598442311175
37027	2014-12-31	chr_65_and_older	0.166117417307458
37027	2014-12-31	chr_access_to_exercise_opportunities	0.40685784484939
37027	2014-12-31	chr_adult_obesity	0.295
37027	2014-12-31	chr_adult_smoking	0.225
37027	2014-12-31	chr_air_pollution_particulate_matter	12.94
37027	2014-12-31	chr_alcohol_impaired_driving_deaths	0.375
37027	2014-12-31	chr_american_indian_or_alaska_native	0.00589601137869412
37027	2014-12-31	chr_asian	0.00588385465420197
37027	2014-12-31	chr_below_18_years_of_age	0.217380690833638
37027	2014-12-31	chr_child_mortality	56.7619299056168
37027	2014-12-31	chr_children_eligible_for_free_or_reduced_price_lunch	0.486554292434339
37027	2014-12-31	chr_children_in_poverty	0.286
37027	2014-12-31	chr_children_in_single_parent_households	0.319942926133246
37027	2014-12-31	chr_could_not_see_doctor_due_to_cost	0.173
37027	2014-12-31	chr_dentists	2.807275e-4
37027	2014-12-31	chr_diabetes_monitoring	0.8774055595
37027	2014-12-31	chr_diabetes_prevalence	0.116
37027	2014-12-31	chr_drinking_water_violations	0
37027	2014-12-31	chr_driving_alone_to_work	0.854615452434831
37027	2014-12-31	chr_drug_overdose_deaths	20.5073195355881
37027	2014-12-31	chr_excessive_drinking	0.091
37027	2014-12-31	chr_female	0.506655806659454
37027	2014-12-31	chr_food_environment_index	6.1146197919166
37027	2014-12-31	chr_food_insecurity	0.172
37027	2014-12-31	chr_health_care_costs	9100.88732
37027	2014-12-31	chr_high_school_graduation	0.81
37027	2014-12-31	chr_hispanic	0.0470343670601393
37027	2014-12-31	chr_hiv_prevalence	71.3
37027	2014-12-31	chr_homicides	4.90773458971339
37027	2014-12-31	chr_inadequate_social_support	0.224
37027	2014-12-31	chr_infant_mortality	7.7
37027	2014-12-31	chr_injury_deaths	78.6
37027	2014-12-31	chr_limited_access_to_healthy_foods	0.157153065440389
37027	2014-12-31	chr_long_commute_driving_alone	0.275
37027	2014-12-31	chr_low_birth_weight	0.09
37027	2014-12-31	chr_mammography_screening	0.7113402062
37027	2014-12-31	chr_median_household_income	35127
37027	2014-12-31	chr_motor_vehicle_crash_deaths	17.5276235346907
37027	2014-12-31	chr_native_hawaiian_or_other_pacific_islander	7.1724674503701e-4
37027	2014-12-31	chr_non_hispanic_black	0.0490523833258367
37027	2014-12-31	chr_non_hispanic_white	0.884389550079626
37027	2014-12-31	chr_not_proficient_in_english	0.00967820606620714
37027	2014-12-31	chr_physical_inactivity	0.286
37027	2014-12-31	chr_poor_mental_health_days	3.8
37027	2014-12-31	chr_poor_or_fair_health	0.211
37027	2014-12-31	chr_poor_physical_health_days	4.2
37027	2014-12-31	chr_population	81930
37027	2014-12-31	chr_premature_age_adjusted_mortality	434.6
37027	2014-12-31	chr_premature_death	8965.99
37027	2014-12-31	chr_preventable_hospital_stays	65.4446768433645
37027	2014-12-31	chr_primary_care_physicians	4.3691971600218e-4
37027	2014-12-31	chr_rural	0.344277300702164
37027	2014-12-31	chr_severe_housing_problems	0.127815945039144
37027	2014-12-31	chr_sexually_transmitted_infections	328.9
37027	2014-12-31	chr_some_college	0.507703631010795
37027	2014-12-31	chr_teen_births	54.1385552081619
37027	2014-12-31	chr_unemployment	0.114143207813234
37027	2014-12-31	chr_uninsured	0.191303589847893
37027	2014-12-31	chr_uninsured_adults	0.239032842403717
37027	2014-12-31	chr_uninsured_children	0.0600703006138188
37027	2014-12-31	chr_violent_crime	161.973736827011
37027	2015-12-31	chr_65_and_older	0.17211855104281
37027	2015-12-31	chr_access_to_exercise_opportunities	0.656348986498693
37027	2015-12-31	chr_adult_obesity	0.293
37027	2015-12-31	chr_adult_smoking	0.225
37027	2015-12-31	chr_air_pollution_particulate_matter	12.94
37027	2015-12-31	chr_alcohol_impaired_driving_deaths	0.359375
37027	2015-12-31	chr_american_indian_or_alaska_native	0.00614709110867179
37027	2015-12-31	chr_asian	0.00657397243566289
37027	2015-12-31	chr_below_18_years_of_age	0.214160263446762
37027	2015-12-31	chr_child_mortality	59.627867897169
37027	2015-12-31	chr_children_eligible_for_free_or_reduced_price_lunch	0.494749403341289
37027	2015-12-31	chr_children_in_poverty	0.254
37027	2015-12-31	chr_children_in_single_parent_households	0.336929322137574
37027	2015-12-31	chr_could_not_see_doctor_due_to_cost	0.173
37027	2015-12-31	chr_dentists	2.9271862422246e-4
37027	2015-12-31	chr_diabetes_monitoring	0.878406708595388
37027	2015-12-31	chr_diabetes_prevalence	0.128
37027	2015-12-31	chr_drinking_water_violations	0
37027	2015-12-31	chr_driving_alone_to_work	0.857426295067737
37027	2015-12-31	chr_drug_overdose_deaths	20.1681607332865
37027	2015-12-31	chr_excessive_drinking	0.091
37027	2015-12-31	chr_female	0.505927552140505
37027	2015-12-31	chr_food_environment_index	5.8
37027	2015-12-31	chr_food_insecurity	0.172
37027	2015-12-31	chr_health_care_costs	9043.35
37027	2015-12-31	chr_high_school_graduation	0.85
37027	2015-12-31	chr_hispanic	0.0490791559946335
37027	2015-12-31	chr_hiv_prevalence	71.3
37027	2015-12-31	chr_homicides	5.4
37027	2015-12-31	chr_income_inequality	4.90545404208195
37027	2015-12-31	chr_infant_mortality	8.6
37027	2015-12-31	chr_injury_deaths	80.4499380874723
37027	2015-12-31	chr_limited_access_to_healthy_foods	0.157153065440389
37027	2015-12-31	chr_long_commute_driving_alone	0.281
37027	2015-12-31	chr_low_birth_weight	0.0867167919799499
37027	2015-12-31	chr_mammography_screening	0.698044009779951
37027	2015-12-31	chr_median_household_income	34811
37027	2015-12-31	chr_mental_health_providers	4.634711550189e-4
37027	2015-12-31	chr_motor_vehicle_crash_deaths	16.6908916413406
37027	2015-12-31	chr_native_hawaiian_or_other_pacific_islander	8.0497621661178e-4
37027	2015-12-31	chr_non_hispanic_black	0.0481644102939383
37027	2015-12-31	chr_non_hispanic_white	0.881656299548725
37027	2015-12-31	chr_not_proficient_in_english	0.0075599349076791
37027	2015-12-31	chr_other_primary_care_providers	3.5370167093548e-4
37027	2015-12-31	chr_physical_inactivity	0.262
37027	2015-12-31	chr_poor_mental_health_days	3.8
37027	2015-12-31	chr_poor_or_fair_health	0.211
37027	2015-12-31	chr_poor_physical_health_days	4.2
37027	2015-12-31	chr_population	81990
37027	2015-12-31	chr_premature_age_adjusted_mortality	452
37027	2015-12-31	chr_premature_death	9238.76
37027	2015-12-31	chr_preventable_hospital_stays	59.36
37027	2015-12-31	chr_primary_care_physicians	4.3939948736726e-4
37027	2015-12-31	chr_rural	0.344277300702164
37027	2015-12-31	chr_severe_housing_problems	0.133672011430386
37027	2015-12-31	chr_sexually_transmitted_infections	238
37027	2015-12-31	chr_social_associations	13.1819846210179
37027	2015-12-31	chr_some_college	0.522118506493506
37027	2015-12-31	chr_teen_births	52.0313613684961
37027	2015-12-31	chr_unemployment	0.0909768432259782
37027	2015-12-31	chr_uninsured	0.183665649822421
37027	2015-12-31	chr_uninsured_adults	0.227094644313187
37027	2015-12-31	chr_uninsured_children	0.0626713249126579
37027	2015-12-31	chr_violent_crime	154.600874074192
37027	2016-12-31	chr_65_and_older	0.178329487997644
37027	2016-12-31	chr_access_to_exercise_opportunities	0.65645738236038
37027	2016-12-31	chr_adult_obesity	0.31
37027	2016-12-31	chr_adult_smoking	0.208
37027	2016-12-31	chr_air_pollution_particulate_matter	12.94
37027	2016-12-31	chr_alcohol_impaired_driving_deaths	0.357142857142857
37027	2016-12-31	chr_american_indian_or_alaska_native	0.00596436110156595
37027	2016-12-31	chr_asian	0.00668842963035688
37027	2016-12-31	chr_below_18_years_of_age	0.210937116489127
37027	2016-12-31	chr_child_mortality	53.851783322517
37027	2016-12-31	chr_children_eligible_for_free_or_reduced_price_lunch	0.506954552806081
37027	2016-12-31	chr_children_in_poverty	0.277
37027	2016-12-31	chr_children_in_single_parent_households	0.349061418930415
37027	2016-12-31	chr_dentists	2.9453635069461e-4
37027	2016-12-31	chr_diabetes_monitoring	0.881542699724518
37027	2016-12-31	chr_diabetes_prevalence	0.107
37027	2016-12-31	chr_drinking_water_violations	0
37027	2016-12-31	chr_driving_alone_to_work	0.859387008515478
37027	2016-12-31	chr_drug_overdose_deaths	16.7071441378299
37027	2016-12-31	chr_drug_overdose_deaths_modeled	11
37027	2016-12-31	chr_excessive_drinking	0.143
37027	2016-12-31	chr_female	0.506123901624859
37027	2016-12-31	chr_food_environment_index	5.8
37027	2016-12-31	chr_food_insecurity	0.17
37027	2016-12-31	chr_frequent_mental_distress	0.122
37027	2016-12-31	chr_frequent_physical_distress	0.124
37027	2016-12-31	chr_health_care_costs	9086.16
37027	2016-12-31	chr_high_school_graduation	0.89
37027	2016-12-31	chr_hispanic	0.0495434686564233
37027	2016-12-31	chr_hiv_prevalence	81.9318671841311
37027	2016-12-31	chr_homicides	5.8
37027	2016-12-31	chr_income_inequality	4.90325253780816
37027	2016-12-31	chr_infant_mortality	7.35048446374875
37027	2016-12-31	chr_injury_deaths	78.85631651227
37027	2016-12-31	chr_insufficient_sleep	0.337
37027	2016-12-31	chr_limited_access_to_healthy_foods	0.157153065440389
37027	2016-12-31	chr_long_commute_driving_alone	0.28
37027	2016-12-31	chr_low_birth_weight	0.0867704946089338
37027	2016-12-31	chr_mammography_screening	0.69
37027	2016-12-31	chr_median_household_income	38653
37027	2016-12-31	chr_mental_health_providers	5.0316626576996e-4
37027	2016-12-31	chr_motor_vehicle_crash_deaths	14.7503631192333
37027	2016-12-31	chr_native_hawaiian_or_other_pacific_islander	7.9770261646458e-4
37027	2016-12-31	chr_non_hispanic_black	0.0487457660399588
37027	2016-12-31	chr_non_hispanic_white	0.880148249963183
37027	2016-12-31	chr_not_proficient_in_english	0.009335233766067
37027	2016-12-31	chr_other_primary_care_providers	3.8044278631387e-4
37027	2016-12-31	chr_physical_inactivity	0.28
37027	2016-12-31	chr_poor_mental_health_days	4
37027	2016-12-31	chr_poor_or_fair_health	0.185
37027	2016-12-31	chr_poor_physical_health_days	4.1
37027	2016-12-31	chr_population	81484
37027	2016-12-31	chr_premature_age_adjusted_mortality	440.9
37027	2016-12-31	chr_premature_death	8817.7
37027	2016-12-31	chr_preventable_hospital_stays	57.13
37027	2016-12-31	chr_primary_care_physicians	4.756677643615e-4
37027	2016-12-31	chr_residential_segregation_black_white	55.7836246302082
37027	2016-12-31	chr_residential_segregation_non_white_white	46.8357064139263
37027	2016-12-31	chr_rural	0.344277300702164
37027	2016-12-31	chr_severe_housing_problems	0.147244094488189
37027	2016-12-31	chr_sexually_transmitted_infections	216.038081288905
37027	2016-12-31	chr_social_associations	13.0503719965849
37027	2016-12-31	chr_some_college	0.517569433788553
37027	2016-12-31	chr_teen_births	49.2570170610897
37027	2016-12-31	chr_unemployment	0.0706190798376184
37027	2016-12-31	chr_uninsured	0.195127018043685
37027	2016-12-31	chr_uninsured_adults	0.241978956615489
37027	2016-12-31	chr_uninsured_children	0.0627868852459016
37027	2016-12-31	chr_violent_crime	154.600874074192
37027	2017-12-31	chr_65_and_older	0.18245229864554
37027	2017-12-31	chr_access_to_exercise_opportunities	0.65645738236038
37027	2017-12-31	chr_adult_obesity	0.327
37027	2017-12-31	chr_adult_smoking	0.195859906557909
37027	2017-12-31	chr_air_pollution_particulate_matter	9.5
37027	2017-12-31	chr_alcohol_impaired_driving_deaths	0.411764705882353
37027	2017-12-31	chr_american_indian_or_alaska_native	0.00573277399830231
37027	2017-12-31	chr_asian	0.00713521227256511
37027	2017-12-31	chr_below_18_years_of_age	0.209184740487409
37027	2017-12-31	chr_child_mortality	64.6914219174537
37027	2017-12-31	chr_children_eligible_for_free_or_reduced_price_lunch	0.585373897271003
37027	2017-12-31	chr_children_in_poverty	0.239
37027	2017-12-31	chr_children_in_single_parent_households	0.34404493080887
37027	2017-12-31	chr_dentists	2.9525016300269e-4
37027	2017-12-31	chr_diabetes_monitoring	0.888054094665665
37027	2017-12-31	chr_diabetes_prevalence	0.142
37027	2017-12-31	chr_disconnected_youth	0.1923
37027	2017-12-31	chr_drinking_water_violations	0
37027	2017-12-31	chr_driving_alone_to_work	0.859034833091437
37027	2017-12-31	chr_drug_overdose_deaths	22.8794620057934
37027	2017-12-31	chr_excessive_drinking	0.150323785814103
37027	2017-12-31	chr_female	0.505738925043365
37027	2017-12-31	chr_firearm_fatalities	16.1
37027	2017-12-31	chr_food_environment_index	6
37027	2017-12-31	chr_food_insecurity	0.159
37027	2017-12-31	chr_frequent_mental_distress	0.122202534224991
37027	2017-12-31	chr_frequent_physical_distress	0.123356830434299
37027	2017-12-31	chr_health_care_costs	8962.04
37027	2017-12-31	chr_high_school_graduation	0.91
37027	2017-12-31	chr_hispanic	0.0502294339808333
37027	2017-12-31	chr_hiv_prevalence	86.6
37027	2017-12-31	chr_homicides	6.1
37027	2017-12-31	chr_income_inequality	4.76323756980421
37027	2017-12-31	chr_infant_mortality	7.35797399041752
37027	2017-12-31	chr_injury_deaths	85.5565822345424
37027	2017-12-31	chr_insufficient_sleep	0.337
37027	2017-12-31	chr_limited_access_to_healthy_foods	0.157153065440389
37027	2017-12-31	chr_long_commute_driving_alone	0.293
37027	2017-12-31	chr_low_birth_weight	0.0896094839609484
37027	2017-12-31	chr_mammography_screening	0.65559655596556
37027	2017-12-31	chr_median_household_income	39636
37027	2017-12-31	chr_mental_health_providers	5.2898987537982e-4
37027	2017-12-31	chr_motor_vehicle_crash_deaths	17.046057403468
37027	2017-12-31	chr_native_hawaiian_or_other_pacific_islander	7.9963585813229e-4
37027	2017-12-31	chr_non_hispanic_black	0.0482980058311907
37027	2017-12-31	chr_non_hispanic_white	0.878996641529396
37027	2017-12-31	chr_not_proficient_in_english	0.0123353355159702
37027	2017-12-31	chr_other_primary_care_providers	4.4287524450404e-4
37027	2017-12-31	chr_physical_inactivity	0.266
37027	2017-12-31	chr_poor_mental_health_days	3.94530071217241
37027	2017-12-31	chr_poor_or_fair_health	0.176537650404905
37027	2017-12-31	chr_poor_physical_health_days	3.98131346170245
37027	2017-12-31	chr_population	81287
37027	2017-12-31	chr_premature_age_adjusted_mortality	452.9
37027	2017-12-31	chr_premature_death	9020
37027	2017-12-31	chr_preventable_hospital_stays	61.88
37027	2017-12-31	chr_primary_care_physicians	4.6634922193314e-4
37027	2017-12-31	chr_residential_segregation_black_white	65.7408038729638
37027	2017-12-31	chr_residential_segregation_non_white_white	41.3316475498328
37027	2017-12-31	chr_rural	0.344277300702164
37027	2017-12-31	chr_severe_housing_problems	0.147700143243673
37027	2017-12-31	chr_sexually_transmitted_infections	209.8
37027	2017-12-31	chr_social_associations	12.7632418634333
37027	2017-12-31	chr_some_college	0.534384923733667
37027	2017-12-31	chr_teen_births	46.3096960926194
37027	2017-12-31	chr_unemployment	0.0630968141742486
37027	2017-12-31	chr_uninsured	0.169514726676494
37027	2017-12-31	chr_uninsured_adults	0.212184237626961
37027	2017-12-31	chr_uninsured_children	0.0468898451908568
37027	2017-12-31	chr_violent_crime	147.392290249433
37027	2018-12-31	chr_65_and_older	0.185784969735663
37027	2018-12-31	chr_access_to_exercise_opportunities	0.769959893531176
37027	2018-12-31	chr_adult_obesity	0.332
37027	2018-12-31	chr_adult_smoking	0.18385958390196
37027	2018-12-31	chr_air_pollution_particulate_matter	9.5
37027	2018-12-31	chr_alcohol_impaired_driving_deaths	0.521739130434783
37027	2018-12-31	chr_american_indian_or_alaska_native	0.00557404019693305
37027	2018-12-31	chr_asian	0.00643347370747339
37027	2018-12-31	chr_below_18_years_of_age	0.207933799064445
37027	2018-12-31	chr_child_mortality	66.970460203532
37027	2018-12-31	chr_children_eligible_for_free_or_reduced_price_lunch	0.597604004266842
37027	2018-12-31	chr_children_in_poverty	0.227
37027	2018-12-31	chr_children_in_single_parent_households	0.324381130312938
37027	2018-12-31	chr_dentists	2.8238529632039e-4
37027	2018-12-31	chr_diabetes_monitoring	0.888054094665665
37027	2018-12-31	chr_diabetes_prevalence	0.138
37027	2018-12-31	chr_disconnected_youth	0.2115
37027	2018-12-31	chr_drinking_water_violations	0
37027	2018-12-31	chr_driving_alone_to_work	0.833403538331929
37027	2018-12-31	chr_drug_overdose_deaths	30.3005486856113
37027	2018-12-31	chr_drug_overdose_deaths_modeled	11
37027	2018-12-31	chr_excessive_drinking	0.172781637014486
37027	2018-12-31	chr_female	0.504475193065599
37027	2018-12-31	chr_firearm_fatalities	16.4159357083354
37027	2018-12-31	chr_food_environment_index	6.4
37027	2018-12-31	chr_food_insecurity	0.152
37027	2018-12-31	chr_frequent_mental_distress	0.129171943276473
37027	2018-12-31	chr_frequent_physical_distress	0.119340915198116
37027	2018-12-31	chr_health_care_costs	9620.4
37027	2018-12-31	chr_high_school_graduation	0.91
37027	2018-12-31	chr_hispanic	0.0513818463087331
37027	2018-12-31	chr_hiv_prevalence	101.9
37027	2018-12-31	chr_homicides	5.92784763339401
37027	2018-12-31	chr_income_inequality	4.61658782718385
37027	2018-12-31	chr_infant_mortality	9.45921827592361
37027	2018-12-31	chr_injury_deaths	85.9999019944137
37027	2018-12-31	chr_insufficient_sleep	0.312244776869982
37027	2018-12-31	chr_limited_access_to_healthy_foods	0.171274089142266
37027	2018-12-31	chr_long_commute_driving_alone	0.308
37027	2018-12-31	chr_low_birth_weight	0.0984767977329083
37027	2018-12-31	chr_mammography_screening	0.65559655596556
37027	2018-12-31	chr_median_household_income	39166
37027	2018-12-31	chr_mental_health_providers	6.3843632211568e-4
37027	2018-12-31	chr_motor_vehicle_crash_deaths	15.6913613825135
37027	2018-12-31	chr_native_hawaiian_or_other_pacific_islander	9.0854399685692e-4
37027	2018-12-31	chr_non_hispanic_black	0.0470724011344522
37027	2018-12-31	chr_non_hispanic_white	0.879446033714349
37027	2018-12-31	chr_not_proficient_in_english	0.0114656417664053
